Project Name,Package Name,Type Name,Code Smell
Assignment-1,forge.ios,Main,Insufficient Modularization
Assignment-1,forge.ios,IOSClipboard,Unutilized Abstraction
Assignment-1,forge.ios,IOSAdapter,Unutilized Abstraction
Assignment-1,forge.token,TokenDb,Unutilized Abstraction
Assignment-1,forge.token,TokenDb,Cyclic-Dependent Modularization
Assignment-1,forge.token,ITokenDatabase,Unutilized Abstraction
Assignment-1,forge,StaticData,Cyclic-Dependent Modularization
Assignment-1,forge,StaticData,Insufficient Modularization
Assignment-1,forge,ImageKeys,Deficient Encapsulation
Assignment-1,forge,ImageKeys,Cyclic-Dependent Modularization
Assignment-1,forge,CardStorageReader,Deficient Encapsulation
Assignment-1,forge,CardStorageReader,Cyclic-Dependent Modularization
Assignment-1,forge,GuiDownloadSetPicturesLQTest,Unutilized Abstraction
Assignment-1,forge,CardRankerTest,Unutilized Abstraction
Assignment-1,forge,RunTest,Unutilized Abstraction
Assignment-1,forge,GuiDownloadPicturesLQTest,Unutilized Abstraction
Assignment-1,forge,TinyTest,Unutilized Abstraction
Assignment-1,forge,GuiProgressBarWindowTest,Unutilized Abstraction
Assignment-1,forge,FCollectionTest,Unutilized Abstraction
Assignment-1,forge,BoosterDraft1Test,Unutilized Abstraction
Assignment-1,forge,BoosterDraftTest,Unutilized Abstraction
Assignment-1,forge,ImageCache,Cyclic-Dependent Modularization
Assignment-1,forge,CachedCardImage,Cyclic-Dependent Modularization
Assignment-1,forge,GuiDesktop,Unutilized Abstraction
Assignment-1,forge,GuiDesktop,Insufficient Modularization
Assignment-1,forge,ImageLoader,Unutilized Abstraction
Assignment-1,forge,Shaders,Deficient Encapsulation
Assignment-1,forge,Shaders,Broken Modularization
Assignment-1,forge,Forge,Deficient Encapsulation
Assignment-1,forge,Forge,Cyclic-Dependent Modularization
Assignment-1,forge,Forge,Insufficient Modularization
Assignment-1,forge,Forge,Hub-like Modularization
Assignment-1,forge,MainInputProcessor,Cyclic-Dependent Modularization
Assignment-1,forge,GuiMobile,Unutilized Abstraction
Assignment-1,forge,GuiMobile,Insufficient Modularization
Assignment-1,forge,Graphics,Cyclic-Dependent Modularization
Assignment-1,forge,Graphics,Insufficient Modularization
Assignment-1,forge,CachedCardImage,Unutilized Abstraction
Assignment-1,forge.card,PrintSheet,Cyclic-Dependent Modularization
Assignment-1,forge.card,Reader,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardFace,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardFace,Insufficient Modularization
Assignment-1,forge.card,ColorSet,Deficient Encapsulation
Assignment-1,forge.card,ColorSet,Insufficient Modularization
Assignment-1,forge.card,ColorIterator,Unutilized Abstraction
Assignment-1,forge.card,CardTypeView,Insufficient Modularization
Assignment-1,forge.card,ICardDatabase,Unutilized Abstraction
Assignment-1,forge.card,ICardDatabase,Insufficient Modularization
Assignment-1,forge.card,ICardCharacteristics,Unutilized Abstraction
Assignment-1,forge.card,CardFacePredicates,Deficient Encapsulation
Assignment-1,forge.card,PredicateCoreType,Unutilized Abstraction
Assignment-1,forge.card,PredicateSuperType,Unutilized Abstraction
Assignment-1,forge.card,DeckHints,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardType,Deficient Encapsulation
Assignment-1,forge.card,CardType,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardType,Insufficient Modularization
Assignment-1,forge.card,Constant,Deficient Encapsulation
Assignment-1,forge.card,Constant,Broken Modularization
Assignment-1,forge.card,Predicates,Deficient Encapsulation
Assignment-1,forge.card,Predicates,Broken Modularization
Assignment-1,forge.card,ICardRawAbilites,Unutilized Abstraction
Assignment-1,forge.card,CardRulesPredicates,Deficient Encapsulation
Assignment-1,forge.card,CardRulesPredicates,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardRulesPredicates,Insufficient Modularization
Assignment-1,forge.card,LeafString,Cyclic-Dependent Modularization
Assignment-1,forge.card,LeafColor,Cyclic-Dependent Modularization
Assignment-1,forge.card,LeafNumber,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardDb,Unutilized Abstraction
Assignment-1,forge.card,CardDb,Deficient Encapsulation
Assignment-1,forge.card,CardDb,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardDb,Insufficient Modularization
Assignment-1,forge.card,CardRequest,Deficient Encapsulation
Assignment-1,forge.card,CardRequest,Cyclic-Dependent Modularization
Assignment-1,forge.card,Editor,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardRules,Unutilized Abstraction
Assignment-1,forge.card,CardRules,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardRules,Insufficient Modularization
Assignment-1,forge.card,Reader,Unutilized Abstraction
Assignment-1,forge.card,ManaCostParser,Unutilized Abstraction
Assignment-1,forge.card,ICardFace,Unutilized Abstraction
Assignment-1,forge.card,CardEdition,Deficient Encapsulation
Assignment-1,forge.card,CardEdition,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardEdition,Insufficient Modularization
Assignment-1,forge.card,CardInSet,Deficient Encapsulation
Assignment-1,forge.card,Reader,Unutilized Abstraction
Assignment-1,forge.card,Reader,Deficient Encapsulation
Assignment-1,forge.card,Collection,Deficient Encapsulation
Assignment-1,forge.card,Collection,Cyclic-Dependent Modularization
Assignment-1,forge.card,Predicates,Unutilized Abstraction
Assignment-1,forge.card,Predicates,Deficient Encapsulation
Assignment-1,forge.card,CardAiHints,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardChangedType,Unutilized Abstraction
Assignment-1,forge.card,MagicColor,Deficient Encapsulation
Assignment-1,forge.card,Constant,Unutilized Abstraction
Assignment-1,forge.card,Constant,Deficient Encapsulation
Assignment-1,forge.card,CardDbPerformanceTests,Unutilized Abstraction
Assignment-1,forge.card,CardEditionCollectionCardMockTestCase,Unutilized Abstraction
Assignment-1,forge.card,CardEditionCollectionCardMockTestCase,Broken Hierarchy
Assignment-1,forge.card,CardMockTestCase,Deficient Encapsulation
Assignment-1,forge.card,CardDbCardMockTestCase,Unutilized Abstraction
Assignment-1,forge.card,CardDbCardMockTestCase,Broken Hierarchy
Assignment-1,forge.card,CardDbCardMockTestCase,Insufficient Modularization
Assignment-1,forge.card,CardDbWithNoImageCardDbMockTestCase,Unutilized Abstraction
Assignment-1,forge.card,CardDbLazyCardLoadingCardMockTestCase,Unutilized Abstraction
Assignment-1,forge.card,CardDbLazyCardLoadingCardMockTestCase,Broken Hierarchy
Assignment-1,forge.card,CardRequestTest,Unutilized Abstraction
Assignment-1,forge.card,LegacyCardDb,Deficient Encapsulation
Assignment-1,forge.card,LegacyCardDb,Cyclic-Dependent Modularization
Assignment-1,forge.card,LegacyCardRequest,Deficient Encapsulation
Assignment-1,forge.card,LegacyCardRequest,Cyclic-Dependent Modularization
Assignment-1,forge.card,GameEntityPicker,Cyclic-Dependent Modularization
Assignment-1,forge.card,PickerTab,Unutilized Abstraction
Assignment-1,forge.card,ColorSetImage,Unutilized Abstraction
Assignment-1,forge.card,CardFaceSymbols,Deficient Encapsulation
Assignment-1,forge.card,CardFaceSymbols,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardImage,Unutilized Abstraction
Assignment-1,forge.card,CardZoom,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardZoom,Hub-like Modularization
Assignment-1,forge.card,CardAvatarImage,Unutilized Abstraction
Assignment-1,forge.card,CardListPreview,Deficient Encapsulation
Assignment-1,forge.card,CardListPreview,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardRenderer,Deficient Encapsulation
Assignment-1,forge.card,CardRenderer,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardRenderer,Insufficient Modularization
Assignment-1,forge.card,CardRenderer,Hub-like Modularization
Assignment-1,forge.card,RendererCachedCardImage,Unutilized Abstraction
Assignment-1,forge.card,CardImageRenderer,Deficient Encapsulation
Assignment-1,forge.card,CardImageRenderer,Cyclic-Dependent Modularization
Assignment-1,forge.card,CardImageRenderer,Insufficient Modularization
Assignment-1,forge.card,CachedCardImageRenderer,Unutilized Abstraction
Assignment-1,forge.card.mana,ManaCost,Deficient Encapsulation
Assignment-1,forge.card.mana,ManaCost,Insufficient Modularization
Assignment-1,forge.card.mana,ManaAtom,Deficient Encapsulation
Assignment-1,forge.util,WorkerThreadFactory,Unutilized Abstraction
Assignment-1,forge.util,Visitor,Unutilized Abstraction
Assignment-1,forge.util,FileSection,Deficient Encapsulation
Assignment-1,forge.util,FileSectionManual,Broken Hierarchy
Assignment-1,forge.util,Lang,Deficient Encapsulation
Assignment-1,forge.util,Lang,Insufficient Modularization
Assignment-1,forge.util,FileUtil,Cyclic-Dependent Modularization
Assignment-1,forge.util,FileUtil,Insufficient Modularization
Assignment-1,forge.util,RandomCollector,Unutilized Abstraction
Assignment-1,forge.util,RandomCollectorSingle,Unutilized Abstraction
Assignment-1,forge.util,RandomCollectorSingle,Broken Hierarchy
Assignment-1,forge.util,RandomCollectorMulti,Unutilized Abstraction
Assignment-1,forge.util,RandomCollectorMulti,Broken Hierarchy
Assignment-1,forge.util,RandomReservoir,Unutilized Abstraction
Assignment-1,forge.util,BagRandomizerIterator,Unutilized Abstraction
Assignment-1,forge.util,ItemPoolSorter,Deficient Encapsulation
Assignment-1,forge.util,RuntimeVersion,Unutilized Abstraction
Assignment-1,forge.util,Localizer,Deficient Encapsulation
Assignment-1,forge.util,Language,Unnecessary Abstraction
Assignment-1,forge.util,Language,Unutilized Abstraction
Assignment-1,forge.util,Language,Deficient Encapsulation
Assignment-1,forge.util,EnumUtil,Unutilized Abstraction
Assignment-1,forge.util,ItemPool,Insufficient Modularization
Assignment-1,forge.util,DebugTrace,Unutilized Abstraction
Assignment-1,forge.util,ImageUtil,Cyclic-Dependent Modularization
Assignment-1,forge.util,ComparatorUtil,Unutilized Abstraction
Assignment-1,forge.util,LineReader,Unutilized Abstraction
Assignment-1,forge.util,LineIterator,Unutilized Abstraction
Assignment-1,forge.util,TextUtil,Deficient Encapsulation
Assignment-1,forge.util,TextUtil,Cyclic-Dependent Modularization
Assignment-1,forge.util,TextUtil,Insufficient Modularization
Assignment-1,forge.util,SwingImageFetcher,Broken Hierarchy
Assignment-1,forge.util,SwingDownloadTask,Unutilized Abstraction
Assignment-1,forge.util,Utils,Deficient Encapsulation
Assignment-1,forge.util,TextBounds,Deficient Encapsulation
Assignment-1,forge.util,LibGDXImageFetcher,Unutilized Abstraction
Assignment-1,forge.util,LibGDXImageFetcher,Broken Hierarchy
Assignment-1,forge.util,LibGDXDownloadTask,Unutilized Abstraction
Assignment-1,forge.util,LayoutHelper,Unutilized Abstraction
Assignment-1,forge.util,EnumMapUtil,Unutilized Abstraction
Assignment-1,forge.util,WaitCallback,Broken Hierarchy
Assignment-1,forge.util,WaitCallback,Cyclic-Dependent Modularization
Assignment-1,forge.util,Lock,Unnecessary Abstraction
Assignment-1,forge.util,ZipUtil,Deficient Encapsulation
Assignment-1,forge.util,ImageFetcher,Imperative Abstraction
Assignment-1,forge.util,Lock,Unnecessary Abstraction
Assignment-1,forge.util,Lock,Unutilized Abstraction
Assignment-1,forge.util,JVMOptions,Unutilized Abstraction
Assignment-1,forge.util,AbstractGeneticAlgorithm,Unutilized Abstraction
Assignment-1,forge.util,AbstractGeneticAlgorithm,Deficient Encapsulation
Assignment-1,forge.util,RestartUtil,Unutilized Abstraction
Assignment-1,forge.util,RestartUtil,Deficient Encapsulation
Assignment-1,forge.util,XmlWriter,Cyclic-Dependent Modularization
Assignment-1,forge.util,IXmlWritable,Cyclic-Dependent Modularization
Assignment-1,forge.util,Callback,Unutilized Abstraction
Assignment-1,forge.util,GuiDisplayUtil,Cyclic-Dependent Modularization
Assignment-1,forge.util,MultiplexOutputStream,Unutilized Abstraction
Assignment-1,forge.util,XmlReader,Cyclic-Dependent Modularization
Assignment-1,forge.util,XmlReader,Insufficient Modularization
Assignment-1,forge.util,PaperCardBuilder,Cyclic-Dependent Modularization
Assignment-1,forge.util,GenericBuilder,Cyclic-Dependent Modularization
Assignment-1,forge.util,IgnoringXStream,Unutilized Abstraction
Assignment-1,forge.util.maps,HashMapOfLists,Unutilized Abstraction
Assignment-1,forge.util.maps,EnumMapToAmount,Unutilized Abstraction
Assignment-1,forge.util.maps,LinkedHashMapToAmount,Unutilized Abstraction
Assignment-1,forge.util.maps,EnumMapOfLists,Unutilized Abstraction
Assignment-1,forge.util.collect,FCollection,Cyclic-Dependent Modularization
Assignment-1,forge.util.collect,FCollection,Insufficient Modularization
Assignment-1,forge.util.collect,EmptyFCollection,Unutilized Abstraction
Assignment-1,forge.util.collect,EmptyFCollection,Insufficient Modularization
Assignment-1,forge.util.collect,FCollectionReader,Cyclic-Dependent Modularization
Assignment-1,forge.util.storage,StorageReaderFolder,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageReaderFolder,Deficient Encapsulation
Assignment-1,forge.util.storage,StorageNestedFolders,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageReaderFileSections,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageReaderFileSections,Broken Hierarchy
Assignment-1,forge.util.storage,StorageReaderFile,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageReaderFile,Broken Hierarchy
Assignment-1,forge.util.storage,StorageBase,Deficient Encapsulation
Assignment-1,forge.util.storage,StorageExtendable,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageImmediatelySerialized,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageReaderRecursiveFolderWithUserFolder,Unutilized Abstraction
Assignment-1,forge.util.storage,StorageReaderRecursiveFolderWithUserFolder,Deficient Encapsulation
Assignment-1,forge.util.storage,StorageReaderBase,Unutilized Abstraction
Assignment-1,forge.util.lang,LangJapanese,Unutilized Abstraction
Assignment-1,forge.util.lang,LangItalian,Unutilized Abstraction
Assignment-1,forge.util.lang,LangEnglish,Unutilized Abstraction
Assignment-1,forge.util.lang,LangFrench,Unutilized Abstraction
Assignment-1,forge.util.lang,LangSpanish,Unutilized Abstraction
Assignment-1,forge.util.lang,LangGerman,Unutilized Abstraction
Assignment-1,forge.util.lang,LangChinese,Unutilized Abstraction
Assignment-1,forge.item,SealedTemplateWithSlots,Unutilized Abstraction
Assignment-1,forge.item,SealedTemplateWithSlots,Broken Hierarchy
Assignment-1,forge.item,ItemPredicate,Deficient Encapsulation
Assignment-1,forge.item,ItemPredicate,Broken Modularization
Assignment-1,forge.item,IPaperCard,Rebellious Hierarchy
Assignment-1,forge.item,SealedTemplate,Deficient Encapsulation
Assignment-1,forge.item,BoxedProduct,Unutilized Abstraction
Assignment-1,forge.item,PaperCardPredicates,Deficient Encapsulation
Assignment-1,forge.item,PredicateColor,Unutilized Abstraction
Assignment-1,forge.item,PredicateRarity,Unutilized Abstraction
Assignment-1,forge.item,PredicateSets,Unutilized Abstraction
Assignment-1,forge.item,PredicateName,Unutilized Abstraction
Assignment-1,forge.item,PredicateNames,Unutilized Abstraction
Assignment-1,forge.item,BoosterBox,Unutilized Abstraction
Assignment-1,forge.item,FatPack,Unutilized Abstraction
Assignment-1,forge.item,Template,Unutilized Abstraction
Assignment-1,forge.item,SealedProduct,Deficient Encapsulation
Assignment-1,forge.item,PaperToken,Cyclic-Dependent Modularization
Assignment-1,forge.item,PaperToken,Insufficient Modularization
Assignment-1,forge.item,TournamentPack,Unutilized Abstraction
Assignment-1,forge.item,TournamentPack,Broken Hierarchy
Assignment-1,forge.item,PaperCard,Deficient Encapsulation
Assignment-1,forge.item,PaperCard,Cyclic-Dependent Modularization
Assignment-1,forge.item,PaperCard,Insufficient Modularization
Assignment-1,forge.item,Reader,Unutilized Abstraction
Assignment-1,forge.item,DeckHintsTest,Unutilized Abstraction
Assignment-1,forge.item.generation,BoosterGenerator,Insufficient Modularization
Assignment-1,forge.item.generation,BoosterSlots,Deficient Encapsulation
Assignment-1,forge.item.generation,BoosterSlots,Broken Modularization
Assignment-1,forge.item.generation,ChaosBoosterSupplier,Unutilized Abstraction
Assignment-1,forge.deck,DeckRecognizer,Deficient Encapsulation
Assignment-1,forge.deck,DeckRecognizer,Insufficient Modularization
Assignment-1,forge.deck,Token,Deficient Encapsulation
Assignment-1,forge.deck,Token,Cyclic-Dependent Modularization
Assignment-1,forge.deck,Token,Insufficient Modularization
Assignment-1,forge.deck,TokenKey,Deficient Encapsulation
Assignment-1,forge.deck,TokenKey,Cyclic-Dependent Modularization
Assignment-1,forge.deck,CardPool,Cyclic-Dependent Modularization
Assignment-1,forge.deck,CardPool,Insufficient Modularization
Assignment-1,forge.deck,Deck,Deficient Encapsulation
Assignment-1,forge.deck,Deck,Cyclic-Dependent Modularization
Assignment-1,forge.deck,Deck,Insufficient Modularization
Assignment-1,forge.deck,UnplayableAICards,Deficient Encapsulation
Assignment-1,forge.deck,UnplayableAICards,Cyclic-Dependent Modularization
Assignment-1,forge.deck,Validators,Unutilized Abstraction
Assignment-1,forge.deck,Validators,Broken Modularization
Assignment-1,forge.deck,DeckRecognizerTest,Unutilized Abstraction
Assignment-1,forge.deck,DeckRecognizerTest,Insufficient Modularization
Assignment-1,forge.deck,FSideboardDialog,Cyclic-Dependent Modularization
Assignment-1,forge.deck,SideboardTabs,Cyclic-Dependent Modularization
Assignment-1,forge.deck,TabPageBase,Unutilized Abstraction
Assignment-1,forge.deck,SideboardPage,Unutilized Abstraction
Assignment-1,forge.deck,SideboardPage,Broken Hierarchy
Assignment-1,forge.deck,MainDeckPage,Unutilized Abstraction
Assignment-1,forge.deck,MainDeckPage,Broken Hierarchy
Assignment-1,forge.deck,FDeckEditor,Deficient Encapsulation
Assignment-1,forge.deck,FDeckEditor,Unexploited Encapsulation
Assignment-1,forge.deck,FDeckEditor,Missing Hierarchy
Assignment-1,forge.deck,FDeckEditor,Cyclic-Dependent Modularization
Assignment-1,forge.deck,FDeckEditor,Insufficient Modularization
Assignment-1,forge.deck,DeckHeader,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckEditorPage,Unutilized Abstraction
Assignment-1,forge.deck,CardManagerPage,Unutilized Abstraction
Assignment-1,forge.deck,CardManagerPage,Unexploited Encapsulation
Assignment-1,forge.deck,CardManagerPage,Broken Hierarchy
Assignment-1,forge.deck,CardManagerPage,Missing Hierarchy
Assignment-1,forge.deck,CardManagerPage,Cyclic-Dependent Modularization
Assignment-1,forge.deck,CardManagerPage,Insufficient Modularization
Assignment-1,forge.deck,CatalogPage,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckSectionPage,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DraftPackPage,Unutilized Abstraction
Assignment-1,forge.deck,DeckController,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckController,Insufficient Modularization
Assignment-1,forge.deck,FDeckImportDialog,Unutilized Abstraction
Assignment-1,forge.deck,FVanguardChooser,Deficient Encapsulation
Assignment-1,forge.deck,FDeckChooser,Deficient Encapsulation
Assignment-1,forge.deck,FDeckChooser,Cyclic-Dependent Modularization
Assignment-1,forge.deck,FDeckChooser,Insufficient Modularization
Assignment-1,forge.deck,FDeckViewer,Cyclic-Dependent Modularization
Assignment-1,forge.deck,CardRelationMatrixGenerator,Deficient Encapsulation
Assignment-1,forge.deck,CardRelationMatrixGenerator,Cyclic-Dependent Modularization
Assignment-1,forge.deck,NetDeckArchiveVintage,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchiveVintage,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckImportController,Insufficient Modularization
Assignment-1,forge.deck,NetDeckCategory,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckCategory,Cyclic-Dependent Modularization
Assignment-1,forge.deck,CardArchetypeLDAGenerator,Deficient Encapsulation
Assignment-1,forge.deck,CardArchetypeLDAGenerator,Cyclic-Dependent Modularization
Assignment-1,forge.deck,NetDeckArchiveStandard,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchiveStandard,Cyclic-Dependent Modularization
Assignment-1,forge.deck,NetDeckArchiveModern,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchiveModern,Cyclic-Dependent Modularization
Assignment-1,forge.deck,Grp,Unnecessary Abstraction
Assignment-1,forge.deck,NetDeckArchivePauper,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchivePauper,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckProxy,Deficient Encapsulation
Assignment-1,forge.deck,DeckProxy,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckProxy,Insufficient Modularization
Assignment-1,forge.deck,DeckProxy,Hub-like Modularization
Assignment-1,forge.deck,ThemeDeckGenerator,Unutilized Abstraction
Assignment-1,forge.deck,NetDeckArchivePioneer,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchivePioneer,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckgenUtil,Cyclic-Dependent Modularization
Assignment-1,forge.deck,DeckgenUtil,Insufficient Modularization
Assignment-1,forge.deck,DeckgenUtil,Hub-like Modularization
Assignment-1,forge.deck,NetDeckArchiveLegacy,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchiveLegacy,Cyclic-Dependent Modularization
Assignment-1,forge.deck,NetDeckArchiveBlock,Deficient Encapsulation
Assignment-1,forge.deck,NetDeckArchiveBlock,Cyclic-Dependent Modularization
Assignment-1,forge.deck.io,DeckStorage,Deficient Encapsulation
Assignment-1,forge.deck.io,DeckFileHeader,Deficient Encapsulation
Assignment-1,forge.deck.io,DeckGroupSerializer,Deficient Encapsulation
Assignment-1,forge.deck.io,DeckPreferences,Cyclic-Dependent Modularization
Assignment-1,forge.deck.io,DeckPreferences,Insufficient Modularization
Assignment-1,forge.deck.io,CardThemedMatrixIO,Deficient Encapsulation
Assignment-1,forge.deck.io,DeckRecords,Unutilized Abstraction
Assignment-1,forge.deck.io,DeckMatch,Unutilized Abstraction
Assignment-1,forge.deck.io,CardThemedLDAIO,Deficient Encapsulation
Assignment-1,forge.deck.generation,DeckGeneratorBase,Deficient Encapsulation
Assignment-1,forge.deck.generation,MatchColorIdentity,Unutilized Abstraction
Assignment-1,forge.deck.generation,FilterCMC,Unutilized Abstraction
Assignment-1,forge.deck.generation,DeckGeneratorMonoColor,Unutilized Abstraction
Assignment-1,forge.deck.generation,DeckGenerator4Color,Unutilized Abstraction
Assignment-1,forge.ai.simulation,SimulationTest,Unutilized Abstraction
Assignment-1,forge.ai.simulation,SpellAbilityPickerSimulationTest,Unutilized Abstraction
Assignment-1,forge.ai.simulation,SpellAbilityPickerSimulationTest,Broken Hierarchy
Assignment-1,forge.ai.simulation,SpellAbilityPickerSimulationTest,Insufficient Modularization
Assignment-1,forge.ai.simulation,GameSimulationTest,Unutilized Abstraction
Assignment-1,forge.ai.simulation,GameSimulationTest,Broken Hierarchy
Assignment-1,forge.ai.simulation,GameSimulationTest,Insufficient Modularization
Assignment-1,forge.ai.simulation,SpellAbilityPicker,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,GameCopier,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,MultiTargetSelector,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,Targets,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,GameStateEvaluator,Deficient Encapsulation
Assignment-1,forge.ai.simulation,GameStateEvaluator,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,CombatSimResult,Unnecessary Abstraction
Assignment-1,forge.ai.simulation,CombatSimResult,Deficient Encapsulation
Assignment-1,forge.ai.simulation,CombatSimResult,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,SimulationCreatureEvaluator,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,Score,Deficient Encapsulation
Assignment-1,forge.ai.simulation,SimulationController,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,CachedEffect,Unutilized Abstraction
Assignment-1,forge.ai.simulation,SpellAbilityChoicesIterator,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,ChoicePoint,Unnecessary Abstraction
Assignment-1,forge.ai.simulation,AllowRepeatModesIterator,Unutilized Abstraction
Assignment-1,forge.ai.simulation,Plan,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,Plan,Insufficient Modularization
Assignment-1,forge.ai.simulation,SpellAbilityRef,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,Decision,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,PossibleTargetSelector,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,Targets,Unutilized Abstraction
Assignment-1,forge.ai.simulation,SimilarTargetSkipper,Cyclic-Dependent Modularization
Assignment-1,forge.ai.simulation,GameSimulator,Deficient Encapsulation
Assignment-1,forge.ai.simulation,GameSimulator,Cyclic-Dependent Modularization
Assignment-1,forge.ai.controller,AutoPaymentTest,Unutilized Abstraction
Assignment-1,forge.gui,ListChooserTest,Unutilized Abstraction
Assignment-1,forge.gui,ChooserListModel,Unutilized Abstraction
Assignment-1,forge.gui,CardListFocuser,Unutilized Abstraction
Assignment-1,forge.gui,SelListener,Unutilized Abstraction
Assignment-1,forge.gui,MultiLineLabel,Unutilized Abstraction
Assignment-1,forge.gui,DualListBox,Unutilized Abstraction
Assignment-1,forge.gui,DualListBox,Insufficient Modularization
Assignment-1,forge.gui,GuiProgressBarWindow,Unutilized Abstraction
Assignment-1,forge.gui,CardContainer,Unutilized Abstraction
Assignment-1,forge.gui,SOverlayUtils,Cyclic-Dependent Modularization
Assignment-1,forge.gui,CardDetailPanel,Cyclic-Dependent Modularization
Assignment-1,forge.gui,ChooserListModel,Unutilized Abstraction
Assignment-1,forge.gui,CardListFocuser,Unutilized Abstraction
Assignment-1,forge.gui,SelListener,Unutilized Abstraction
Assignment-1,forge.gui,GuiDialog,Cyclic-Dependent Modularization
Assignment-1,forge.gui,ListChooser,Deficient Encapsulation
Assignment-1,forge.gui,ListChooser,Cyclic-Dependent Modularization
Assignment-1,forge.gui,ChooserListModel,Unutilized Abstraction
Assignment-1,forge.gui,SelListener,Unutilized Abstraction
Assignment-1,forge.gui,TransformedCellRenderer,Unutilized Abstraction
Assignment-1,forge.gui,TransformedCellRenderer,Deficient Encapsulation
Assignment-1,forge.gui,GuiChoose,Cyclic-Dependent Modularization
Assignment-1,forge.gui,_UnknownDeckChoice,Deficient Encapsulation
Assignment-1,forge.gui,_AnalyzerUpdater,Unutilized Abstraction
Assignment-1,forge.gui,_Importer,Unutilized Abstraction
Assignment-1,forge.gui,CardPicturePanel,Cyclic-Dependent Modularization
Assignment-1,forge.gui,ChooserListModel,Unutilized Abstraction
Assignment-1,forge.gui,CardListFocuser,Unutilized Abstraction
Assignment-1,forge.gui,SelListener,Unutilized Abstraction
Assignment-1,forge.gui,WrapLayout,Unutilized Abstraction
Assignment-1,forge.gui,MultiLineLabelUI,Deficient Encapsulation
Assignment-1,forge.gui,MenuScroller,Insufficient Modularization
Assignment-1,forge.gui,MouseScrollListener,Unutilized Abstraction
Assignment-1,forge.gui,ImportSourceAnalyzer,Insufficient Modularization
Assignment-1,forge.gui,GuiBase,Cyclic-Dependent Modularization
Assignment-1,forge.gui,GuiBase,Insufficient Modularization
Assignment-1,forge.gui,FThreads,Cyclic-Dependent Modularization
Assignment-1,forge.gui,UiCommand,Unnecessary Abstraction
Assignment-1,forge.gui.game,CardDetailPanelTest,Unutilized Abstraction
Assignment-1,forge.model,FModelTest,Unutilized Abstraction
Assignment-1,forge.model,MetaSet,Deficient Encapsulation
Assignment-1,forge.model,MetaSet,Cyclic-Dependent Modularization
Assignment-1,forge.model,CardCollections,Multifaceted Abstraction
Assignment-1,forge.model,FModel,Cyclic-Dependent Modularization
Assignment-1,forge.model,FModel,Insufficient Modularization
Assignment-1,forge.model,FModel,Hub-like Modularization
Assignment-1,forge.model,UnOpenedMeta,Cyclic-Dependent Modularization
